127.0.0.1 - - [19/Feb/2024:07:56:29 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:30 +0700] "GET /heii/index.jsp HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:30 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:42 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:45 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:54 +0700] "GET / HTTP/1.1" 404 673
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:55 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:56:57 +0700] "GET / HTTP/1.1" 404 673
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/ HTTP/1.1" 200 30326
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/css/font-awesome.min.css HTTP/1.1" 200 21984
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/css/responsive.css HTTP/1.1" 200 3901
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/style.css HTTP/1.1" 200 23320
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/css/owl.carousel.css HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/logo.png HTTP/1.1" 200 2759
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/h4-slide.png HTTP/1.1" 200 76370
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/h4-slide2.png HTTP/1.1" 200 177618
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/h4-slide3.png HTTP/1.1" 200 138136
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/h4-slide4.png HTTP/1.1" 200 115083
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/js/jquery.sticky.js HTTP/1.1" 200 5654
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/js/owl.carousel.min.js HTTP/1.1" 200 40401
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/js/jquery.easing.1.3.min.js HTTP/1.1" 200 6967
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/js/main.js HTTP/1.1" 200 2383
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/js/bxslider.min.js HTTP/1.1" 200 19368
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/js/script.slider.js HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-1.jpg HTTP/1.1" 200 22598
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-2.jpg HTTP/1.1" 200 27636
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-4.jpg HTTP/1.1" 200 16494
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-3.jpg HTTP/1.1" 200 25787
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-5.jpg HTTP/1.1" 200 13285
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/brand1.png HTTP/1.1" 200 6802
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-6.jpg HTTP/1.1" 200 30528
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/brand2.png HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/brand4.png HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/brand5.png HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/brand3.png HTTP/1.1" 200 7384
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-thumb-1.jpg HTTP/1.1" 200 9629
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/brand6.png HTTP/1.1" 200 10568
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-thumb-2.jpg HTTP/1.1" 200 10684
0:0:0:0:0:0:0:1 - - [19/Feb/2024:07:57:21 +0700] "GET /heii/img/product-thumb-3.jpg HTTP/1.1" 200 5392
