127.0.0.1 - - [14/May/2024:17:21:42 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/May/2024:17:21:43 +0700] "GET /HelloWebApp/index.jsp HTTP/1.1" 200 17224
0:0:0:0:0:0:0:1 - - [14/May/2024:17:21:50 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33769
0:0:0:0:0:0:0:1 - - [14/May/2024:17:21:50 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:21:50 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:21 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18800
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:21 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:22 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33769
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:22 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:22 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:23 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18800
0:0:0:0:0:0:0:1 - - [14/May/2024:17:22:26 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40150
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:03 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40150
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:05 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18800
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:06 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:11 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:15 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 200 4268
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:21 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 200 4267
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:23 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:23 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:23 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:23 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:24 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18808
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:26 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:31 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 41544
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:35 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18814
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:37 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [14/May/2024:17:46:40 +0700] "GET /HelloWebApp/add-to-cart?id=1 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:03 +0700] "GET /HelloWebApp/user-logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:03 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:09 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 42717
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:14 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18806
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:16 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:19 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:19 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:19 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:19 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:21 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18814
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:24 +0700] "GET /HelloWebApp/add-to-cart?id=5 HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:30 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 44096
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:33 +0700] "GET /HelloWebApp/user-logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:33 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:37 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 43992
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:41 +0700] "GET /HelloWebApp/user-login HTTP/1.1" 200 4231
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:48 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:48 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:48 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:48 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:17:47:49 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 44096
0:0:0:0:0:0:0:1 - - [14/May/2024:18:25:55 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40150
0:0:0:0:0:0:0:1 - - [14/May/2024:18:25:59 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18831
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:00 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:09 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:09 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:09 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:09 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:10 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18839
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:11 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:11 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18845
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:13 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 200 18840
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:21 +0700] "GET /HelloWebApp/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:21 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18845
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:44 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 42821
0:0:0:0:0:0:0:1 - - [14/May/2024:18:26:47 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18845
0:0:0:0:0:0:0:1 - - [14/May/2024:18:30:51 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18831
0:0:0:0:0:0:0:1 - - [14/May/2024:18:30:53 +0700] "GET /HelloWebApp/user-login HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:01 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:01 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:01 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:01 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:02 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18839
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:04 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:31:10 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40254
0:0:0:0:0:0:0:1 - - [14/May/2024:18:48:56 +0700] "GET /HelloWebApp/user-logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:48:56 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:18:48:57 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:01 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:01 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:01 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:01 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:02 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18839
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:03 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:03 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18863
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:07 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:07 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18854
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:12 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:12 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18854
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:13 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 41544
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:15 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18854
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:16 +0700] "GET /HelloWebApp/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:16 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18863
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:18 +0700] "GET /HelloWebApp/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:18 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18854
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:22 +0700] "GET /HelloWebApp/add-to-cart?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:49:22 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18854
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:13 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18840
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:14 +0700] "GET /HelloWebApp/user-login HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:17 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:17 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:17 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:17 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:18 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18848
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:20 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:20 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18863
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:21 +0700] "GET /HelloWebApp/add-to-cart?id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:18:50:21 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18868
0:0:0:0:0:0:0:1 - - [14/May/2024:22:46:48 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33769
0:0:0:0:0:0:0:1 - - [14/May/2024:22:46:48 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:46:48 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:46:52 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18831
0:0:0:0:0:0:0:1 - - [14/May/2024:22:46:54 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40150
0:0:0:0:0:0:0:1 - - [14/May/2024:22:47:02 +0700] "GET /HelloWebApp/index.html HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [14/May/2024:22:47:08 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33769
0:0:0:0:0:0:0:1 - - [14/May/2024:22:47:08 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:47:08 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:47:12 +0700] "GET /HelloWebApp/deltailproduct.jsp?bid=28 HTTP/1.1" 200 26656
0:0:0:0:0:0:0:1 - - [14/May/2024:22:47:55 +0700] "GET /HelloWebApp/index.html HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [14/May/2024:22:54:06 +0700] "GET /HelloWebApp/cart.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/May/2024:22:54:25 +0700] "POST /HelloWebApp/cart.html HTTP/1.1" 200 41535
0:0:0:0:0:0:0:1 - - [14/May/2024:22:55:50 +0700] "POST /HelloWebApp/cart.html HTTP/1.1" 200 41535
0:0:0:0:0:0:0:1 - - [14/May/2024:22:56:11 +0700] "GET /HelloWebApp/cart.html HTTP/1.1" 200 41535
0:0:0:0:0:0:0:1 - - [14/May/2024:22:56:14 +0700] "GET /HelloWebApp/index.html HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [14/May/2024:22:56:18 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33769
0:0:0:0:0:0:0:1 - - [14/May/2024:22:56:18 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:56:18 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:58:47 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33769
0:0:0:0:0:0:0:1 - - [14/May/2024:22:58:47 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:58:47 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:02 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18831
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:06 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40150
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:09 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18831
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:12 +0700] "GET /HelloWebApp/cart.jsp HTTP/1.1" 200 40150
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:16 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18831
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:18 +0700] "GET /HelloWebApp/loginreal.jsp HTTP/1.1" 200 4203
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:22 +0700] "POST /HelloWebApp/user-login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:23 +0700] "GET /HelloWebApp/home HTTP/1.1" 200 33872
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:23 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:23 +0700] "GET /HelloWebApp/th.jpg HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [14/May/2024:22:59:24 +0700] "GET /HelloWebApp/shop HTTP/1.1" 200 18839
